Id;TrialId;S1;S2;S1I;ISI;S2I;ChangeType;Correct;ChangePos;Lbefore;Lafter;Gbefore;Gafter
0;1;1Row-Xf-Xd-Xd-Xf;1Row-Xf-Xd-Xd-Xf;500;250;500;N;N;0;*;*;*;*
1;2;1Row-Xf-Xd-Xd-Xf;1Row-De-Bg-Zf-Hd;500;250;500;Z;Z;0;*;*;*;*
2;3;1Row-Xf-Xd-Xd-Xf;1Row-Xd-Xg-Xd-Xg;500;250;500;Z;Z;0;*;*;*;*
3;4;1Row-Xf-Xd-Xd-Xf;1Row-Hx-Od-Xf-Ah;500;250;500;Z;Z;0;*;*;*;*
4;5;1Row-Xf-Xd-Xd-Xf;1Row-Xd-Xf-Xa-Xg;500;250;500;Z;Z;0;*;*;*;*
5;6;1Row-Xf-Xd-Xd-Xf;1Row-Dx-Bg-Ef-Hd;500;250;500;Z;Z;0;*;*;*;*
6;7;1Row-Xf-Xd-Xd-Xf;1Row-Oa-Rf-Xd-Ae;500;250;500;Z;Z;0;*;*;*;*
7;8;1Row-Xf-Xd-Xd-Xf;1Row-Ae-Xd-Zx-Hd;500;250;500;Z;Z;0;*;*;*;*
8;9;1Row-Xf-Xd-Xd-Xf;1Row-Zg-Bg-Ef-Hd;500;250;500;Z;Z;0;*;*;*;*
9;10;1Row-Xf-Xd-Xd-Xf;1Row-Og-Bh-Xg-Bf;500;250;500;Z;Z;0;*;*;*;*
10;11;1Row-Xf-Xd-Xd-Xf;1Row-Gl-Bg-Ah-Hd;500;250;500;Z;Z;0;*;*;*;*
11;12;1Row-Xf-Xd-Xd-Xf;1Row-Ae-Zg-Ae-Hd;500;250;500;Z;Z;0;*;*;*;*
12;13;1Row-Xf-Xd-Xd-Xf;1Row-Xf-Xg-Xd-Xg;500;250;500;Z;Z;0;*;*;*;*
13;14;1Row-Xf-Xd-Xd-Xf;1Row-Dh-Zg-Ef-Hd;500;250;500;Z;Z;0;*;*;*;*
14;15;1Row-Xf-Xd-Xd-Xf;1Row-Hc-Rd-Xf-Ah;500;250;500;Z;Z;0;*;*;*;*
15;16;1Row-Xf-Xd-Xd-Xf;1Row-Ae-Xd-Rx-Hf;500;250;500;Z;Z;0;*;*;*;*
16;17;1Row-Xf-Xd-Xd-Xf;1Row-Gh-Bg-Eh-Hd;500;250;500;Z;Z;0;*;*;*;*
17;18;1Row-Xf-Xd-Xd-Xf;1Row-Hc-Bh-Xf-Ah;500;250;500;Z;Z;0;*;*;*;*
18;19;1Row-Xf-Xd-Xd-Xf;1Row-Ae-Of-Rx-Od;500;250;500;Z;Z;0;*;*;*;*
19;20;1Row-Xf-Xd-Xd-Xf;1Row-Ae-Zf-Rx-Hd;500;250;500;Z;Z;0;*;*;*;*
20;21;1Row-Xf-Xd-Xd-Xf;1Row-Xg-Zx-Xg-Hd;500;250;500;Z;Z;0;*;*;*;*
21;22;1Row-Xf-Xd-Xd-Xf;1Row-Xd-Xg-Xg-Xg;500;250;500;Z;Z;0;*;*;*;*
22;23;1Row-Xf-Xd-Xd-Xf;1Row-Zx-Rd-Xf-Ah;500;250;500;Z;Z;0;*;*;*;*
23;24;1Row-Xf-Xd-Xd-Xf;1Row-Gh-Bg-Ah-Hd;500;250;500;Z;Z;0;*;*;*;*
24;25;1Row-Xf-Xd-Xd-Xf;1Row-Hx-Rf-Xd-Ae;500;250;500;Z;Z;0;*;*;*;*
25;26;1Row-Xf-Xd-Xd-Xf;1Row-Dg-Bg-Ef-Hd;500;250;500;Z;Z;0;*;*;*;*
26;27;1Row-Xf-Xd-Xd-Xf;1Row-Zx-Bg-Ef-Hd;500;250;500;Z;Z;0;*;*;*;*
27;28;1Row-Xf-Xd-Xd-Xf;1Row-Xg-Bh-Xg-Hd;500;250;500;Z;Z;0;*;*;*;*
28;29;1Row-Xf-Xd-Xd-Xf;1Row-Ae-Bf-Rx-Hd;500;250;500;Z;Z;0;*;*;*;*
29;30;1Row-Xf-Xd-Xd-Xf;1Row-Hx-Zf-Od-Ae;500;250;500;Z;Z;0;*;*;*;*
30;31;1Row-Xf-Xd-Xd-Xf;1Row-Xg-Bh-Xg-Bf;500;250;500;Z;Z;0;*;*;*;*
31;32;1Row-Xf-Xd-Xd-Xf;1Row-Xg-Xg-Xg-Xg;500;250;500;Z;Z;0;*;*;*;*
32;33;1Row-Xf-Xd-Xd-Xf;1Row-Ha-Zf-Xd-Ae;500;250;500;Z;Z;0;*;*;*;*
33;34;1Row-Xf-Xd-Xd-Xf;1Row-Gh-Bg-Ef-Hd;500;250;500;Z;Z;0;*;*;*;*
34;35;1Row-Xf-Xd-Xd-Xf;1Row-Xg-Ox-Zg-Hd;500;250;500;Z;Z;0;*;*;*;*
35;36;1Row-Xf-Xd-Xd-Xf;1Row-De-Bg-Ef-Hd;500;250;500;Z;Z;0;*;*;*;*
36;37;1Row-Xf-Xd-Xd-Xf;1Row-Dx-Zg-Ef-Hd;500;250;500;Z;Z;0;*;*;*;*
37;38;1Row-Xf-Xd-Xd-Xf;1Row-Xf-Xd-Xd-Xg;500;250;500;L;L;4;F;G;*;*
38;39;1Row-Xf-Xd-Xd-Xf;1Row-Hc-Bh-Xg-Ah;500;250;500;Z;Z;0;*;*;*;*
39;40;1Row-Xf-Xd-Xd-Xf;1Row-Xf-Xf-Xf-Xf;500;250;500;Z;Z;0;*;*;*;*
40;41;1Row-Xf-Xd-Xd-Xf;1Row-Zg-Bh-Xg-Of;500;250;500;Z;Z;0;*;*;*;*
41;42;1Row-Xf-Xd-Xd-Xf;1Row-Xd-Xf-Xl-Xc;500;250;500;Z;Z;0;*;*;*;*
42;43;1Row-Xf-Xd-Xd-Xf;1Row-Xg-Bh-Xg-Zf;500;250;500;Z;Z;0;*;*;*;*
43;44;1Row-Xf-Xd-Xd-Xf;1Row-Hc-Ra-Xf-Ah;500;250;500;Z;Z;0;*;*;*;*
44;45;1Row-Xf-Xd-Xd-Xf;1Row-Ae-Rf-Xd-Hf;500;250;500;Z;Z;0;*;*;*;*
45;46;1Row-Xf-Xd-Xd-Xf;1Row-Xd-Xf-Xd-Xg;500;250;500;Z;Z;0;*;*;*;*
46;47;1Row-Xf-Xd-Xd-Xf;1Row-Xf-Xf-Xl-Xc;500;250;500;Z;Z;0;*;*;*;*
47;48;1Row-Xf-Xd-Xd-Xf;1Row-Gh-Zg-Zx-Hd;500;250;500;Z;Z;0;*;*;*;*
48;49;1Row-Xf-Xd-Xd-Xf;1Row-Ha-Bh-Xg-Ah;500;250;500;Z;Z;0;*;*;*;*
49;50;1Row-Xf-Xd-Xd-Xf;1Row-Hl-Rf-Xd-Ae;500;250;500;Z;Z;0;*;*;*;*
50;51;1Row-Xf-Xd-Xd-Xf;1Row-Xg-Bh-Og-Bf;500;250;500;Z;Z;0;*;*;*;*
51;52;1Row-Xf-Xd-Xd-Xf;1Row-Xg-Xd-Xd-Xg;500;250;500;Z;Z;0;*;*;*;*
52;53;1Row-Xf-Xd-Xd-Xf;1Row-Dh-Bg-Ef-Hd;500;250;500;Z;Z;0;*;*;*;*
53;54;1Row-Xf-Xd-Xd-Xf;1Row-Xg-Ox-Xg-Hd;500;250;500;Z;Z;0;*;*;*;*
54;55;1Row-Xf-Xd-Xd-Xf;1Row-Ae-Xd-Rx-Hd;500;250;500;Z;Z;0;*;*;*;*
55;56;1Row-Xf-Xd-Xd-Xf;1Row-Gh-Og-Eh-Hd;500;250;500;Z;Z;0;*;*;*;*
56;57;1Row-Xf-Xd-Xd-Xf;1Row-Zg-Bg-Zf-Hd;500;250;500;Z;Z;0;*;*;*;*
57;58;1Row-Xf-Xd-Xd-Xf;1Row-Xg-Xd-Xg-Xg;500;250;500;Z;Z;0;*;*;*;*
58;59;1Row-Xf-Xd-Xd-Xf;1Row-Hx-Of-Xd-Ae;500;250;500;Z;Z;0;*;*;*;*
59;60;1Row-Xf-Xd-Xd-Xf;1Row-Ae-Bg-Zx-Hd;500;250;500;Z;Z;0;*;*;*;*
60;61;1Row-Xf-Xd-Xd-Xf;1Row-Zf-Bg-Ef-Hd;500;250;500;Z;Z;0;*;*;*;*
61;62;1Row-Xf-Xd-Xd-Xf;1Row-Xg-Bx-Xg-Hd;500;250;500;Z;Z;0;*;*;*;*
62;63;1Row-Xf-Xd-Xd-Xf;1Row-Ha-Rf-Xd-Ae;500;250;500;Z;Z;0;*;*;*;*
