StimulusId;FileName;Name;Pattern;G1;L1
0;Yi.bmp;Yi;Circle;Y;I
1;Yj.bmp;Yj;Circle;Y;J
2;Yk.bmp;Yk;Circle;Y;K
3;Yl.bmp;Yl;Circle;Y;L
4;Ym.bmp;Ym;Circle;Y;M
5;Yn.bmp;Yn;Circle;Y;N
6;Yo.bmp;Yo;Circle;Y;O
7;Yp.bmp;Yp;Circle;Y;P
8;Yr.bmp;Yr;Circle;Y;R
9;Ys.bmp;Ys;Circle;Y;S
10;Yt.bmp;Yt;Circle;Y;T
11;Yu.bmp;Yu;Circle;Y;U
12;Yv.bmp;Yv;Circle;Y;V
13;Yw.bmp;Yw;Circle;Y;W
14;Yx.bmp;Yx;Circle;Y;X
15;Yz.bmp;Yz;Circle;Y;Z
16;Za.bmp;Za;Circle;Z;A
17;Zc.bmp;Zc;Circle;Z;C
18;Ze.bmp;Ze;Circle;Z;E
19;Zf.bmp;Zf;Circle;Z;F
20;Zg.bmp;Zg;Circle;Z;G
21;Zh.bmp;Zh;Circle;Z;H
22;Zi.bmp;Zi;Circle;Z;I
23;Zj.bmp;Zj;Circle;Z;J
24;Zk.bmp;Zk;Circle;Z;K
25;Zl.bmp;Zl;Circle;Z;L
26;Zm.bmp;Zm;Circle;Z;M
27;Zn.bmp;Zn;Circle;Z;N
28;Zo.bmp;Zo;Circle;Z;O
29;Zp.bmp;Zp;Circle;Z;P
30;Zr.bmp;Zr;Circle;Z;R
31;Zs.bmp;Zs;Circle;Z;S
32;Zt.bmp;Zt;Circle;Z;T
33;Zu.bmp;Zu;Circle;Z;U
34;Zv.bmp;Zv;Circle;Z;V
35;Zw.bmp;Zw;Circle;Z;W
36;Zx.bmp;Zx;Circle;Z;X
37;Zy.bmp;Zy;Circle;Z;Y
38;St.bmp;St;Circle;S;T
39;Su.bmp;Su;Circle;S;U
40;Sv.bmp;Sv;Circle;S;V
41;Sw.bmp;Sw;Circle;S;W
42;Sx.bmp;Sx;Circle;S;X
43;Sy.bmp;Sy;Circle;S;Y
44;Sz.bmp;Sz;Circle;S;Z
45;Ta.bmp;Ta;Circle;T;A
46;Tc.bmp;Tc;Circle;T;C
47;Te.bmp;Te;Circle;T;E
48;Tf.bmp;Tf;Circle;T;F
49;Tg.bmp;Tg;Circle;T;G
50;Th.bmp;Th;Circle;T;H
51;Ti.bmp;Ti;Circle;T;I
52;Tj.bmp;Tj;Circle;T;J
53;Tk.bmp;Tk;Circle;T;K
54;Tl.bmp;Tl;Circle;T;L
55;Tm.bmp;Tm;Circle;T;M
56;Tn.bmp;Tn;Circle;T;N
57;To.bmp;To;Circle;T;O
58;Tp.bmp;Tp;Circle;T;P
59;Tr.bmp;Tr;Circle;T;R
60;Ts.bmp;Ts;Circle;T;S
61;Tu.bmp;Tu;Circle;T;U
62;Tv.bmp;Tv;Circle;T;V
63;Tw.bmp;Tw;Circle;T;W
64;Tx.bmp;Tx;Circle;T;X
65;Ty.bmp;Ty;Circle;T;Y
66;Tz.bmp;Tz;Circle;T;Z
67;Ua.bmp;Ua;Circle;U;A
68;Uc.bmp;Uc;Circle;U;C
69;Ue.bmp;Ue;Circle;U;E
70;Uf.bmp;Uf;Circle;U;F
71;Ug.bmp;Ug;Circle;U;G
72;Uh.bmp;Uh;Circle;U;H
73;Ui.bmp;Ui;Circle;U;I
74;Uj.bmp;Uj;Circle;U;J
75;Uk.bmp;Uk;Circle;U;K
76;Ul.bmp;Ul;Circle;U;L
77;Um.bmp;Um;Circle;U;M
78;Un.bmp;Un;Circle;U;N
79;Uo.bmp;Uo;Circle;U;O
80;Up.bmp;Up;Circle;U;P
81;Ur.bmp;Ur;Circle;U;R
82;Us.bmp;Us;Circle;U;S
83;Ut.bmp;Ut;Circle;U;T
84;Uv.bmp;Uv;Circle;U;V
85;Uw.bmp;Uw;Circle;U;W
86;Ux.bmp;Ux;Circle;U;X
87;Uy.bmp;Uy;Circle;U;Y
88;Uz.bmp;Uz;Circle;U;Z
89;Va.bmp;Va;Circle;V;A
90;Vc.bmp;Vc;Circle;V;C
91;Ve.bmp;Ve;Circle;V;E
92;Vf.bmp;Vf;Circle;V;F
93;Vg.bmp;Vg;Circle;V;G
94;Vh.bmp;Vh;Circle;V;H
95;Vi.bmp;Vi;Circle;V;I
96;Vj.bmp;Vj;Circle;V;J
97;Vk.bmp;Vk;Circle;V;K
98;Vl.bmp;Vl;Circle;V;L
99;Vm.bmp;Vm;Circle;V;M
100;Vn.bmp;Vn;Circle;V;N
101;Vo.bmp;Vo;Circle;V;O
102;Vp.bmp;Vp;Circle;V;P
103;Vr.bmp;Vr;Circle;V;R
104;Vs.bmp;Vs;Circle;V;S
105;Vt.bmp;Vt;Circle;V;T
106;Vu.bmp;Vu;Circle;V;U
107;Vw.bmp;Vw;Circle;V;W
108;Vx.bmp;Vx;Circle;V;X
