Id;TrialId;s1;s2;s3;s4;s5;s6;s7;s8;s9;x9;y9;changecorrect;changetype;firstG;secondG;fisrtL;secondL
0;1;Fa.bmp;Ha.bmp;Ne.bmp;Fh.bmp;Ak.bmp;Fc.bmp;Uz.bmp;Fn.bmp;Nc.bmp;20;50;7;GL;U;N;Z;C
1;2;Zc.bmp;Me.bmp;Ek.bmp;Au.bmp;Mn.bmp;Um.bmp;Ea.bmp;Eo.bmp;Fe.bmp;50;15;1;GL;Z;F;C;E
2;3;Oa.bmp;Fa.bmp;Hc.bmp;Fk.bmp;Mk.bmp;Fh.bmp;Uc.bmp;Ze.bmp;On.bmp;50;15;1;L;O;O;A;N
3;4;Ko.bmp;Af.bmp;Uh.bmp;Uk.bmp;Om.bmp;Ce.bmp;Nc.bmp;Oe.bmp;Za.bmp;50;85;5;GL;O;Z;M;A
4;5;Za.bmp;Fk.bmp;Nh.bmp;Ao.bmp;Uk.bmp;Ef.bmp;Cn.bmp;Ka.bmp;Kc.bmp;50;15;1;GL;Z;K;A;C
5;6;Uz.bmp;Fm.bmp;Cz.bmp;Mn.bmp;Kn.bmp;Ek.bmp;Ke.bmp;Mz.bmp;Cf.bmp;71;73;4;GL;M;C;N;F
6;7;Ma.bmp;Cz.bmp;Ez.bmp;Kh.bmp;Oe.bmp;Ha.bmp;Zu.bmp;Zc.bmp;Me.bmp;29;27;8;GL;Z;M;C;E
7;8;Zc.bmp;Kn.bmp;Ca.bmp;Nk.bmp;En.bmp;Uk.bmp;Co.bmp;Zk.bmp;Ck.bmp;29;27;8;G;Z;C;K;K
8;9;Ef.bmp;Ou.bmp;Zn.bmp;Hz.bmp;Uk.bmp;Hm.bmp;Ck.bmp;Eo.bmp;Kn.bmp;50;15;1;GL;E;K;F;N
9;10;Zo.bmp;Uk.bmp;Fe.bmp;Of.bmp;Cz.bmp;Fn.bmp;Eh.bmp;Ck.bmp;Fu.bmp;80;50;3;L;F;F;E;U
10;11;Hu.bmp;Hk.bmp;Za.bmp;Mf.bmp;Nk.bmp;Nz.bmp;Oe.bmp;Oa.bmp;Zn.bmp;50;15;1;GL;H;Z;U;N
11;12;Ek.bmp;Fa.bmp;Nu.bmp;Ez.bmp;Cz.bmp;Fc.bmp;Af.bmp;Hm.bmp;Fm.bmp;29;73;6;L;F;F;C;M
12;13;Um.bmp;Hf.bmp;Fa.bmp;Uo.bmp;Mo.bmp;Zk.bmp;Fz.bmp;Zc.bmp;Co.bmp;50;85;5;G;M;C;O;O
13;14;Ec.bmp;Zm.bmp;Om.bmp;Cu.bmp;Hn.bmp;Um.bmp;En.bmp;Oc.bmp;Na.bmp;71;73;4;GL;C;N;U;A
14;15;Cm.bmp;Ce.bmp;Kf.bmp;Zh.bmp;Af.bmp;Ha.bmp;Na.bmp;Nc.bmp;Kz.bmp;80;50;3;L;K;K;F;Z
15;16;Ac.bmp;Mk.bmp;Fu.bmp;Ne.bmp;Zf.bmp;Ae.bmp;Fo.bmp;Hk.bmp;Ha.bmp;80;50;3;GL;F;H;U;A
16;17;Eh.bmp;Zm.bmp;Zc.bmp;Ca.bmp;Ce.bmp;Me.bmp;Uf.bmp;Am.bmp;Ue.bmp;29;27;8;GL;A;U;M;E
