StimulusId;FileName;Name;Pattern;G1;L1
0;Yk.bmp;Yk;Circle;Y;K
1;Yl.bmp;Yl;Circle;Y;L
2;Ym.bmp;Ym;Circle;Y;M
3;Yn.bmp;Yn;Circle;Y;N
4;Yo.bmp;Yo;Circle;Y;O
5;Yt.bmp;Yt;Circle;Y;T
6;Yu.bmp;Yu;Circle;Y;U
7;Yv.bmp;Yv;Circle;Y;V
8;Yx.bmp;Yx;Circle;Y;X
9;Yz.bmp;Yz;Circle;Y;Z
10;Za.bmp;Za;Circle;Z;A
11;Zc.bmp;Zc;Circle;Z;C
12;Ze.bmp;Ze;Circle;Z;E
13;Zf.bmp;Zf;Circle;Z;F
14;Zh.bmp;Zh;Circle;Z;H
15;Zk.bmp;Zk;Circle;Z;K
16;Zl.bmp;Zl;Circle;Z;L
17;Zm.bmp;Zm;Circle;Z;M
18;Zn.bmp;Zn;Circle;Z;N
19;Zo.bmp;Zo;Circle;Z;O
20;Zt.bmp;Zt;Circle;Z;T
21;Zu.bmp;Zu;Circle;Z;U
22;Zv.bmp;Zv;Circle;Z;V
23;Zx.bmp;Zx;Circle;Z;X
24;Zy.bmp;Zy;Circle;Z;Y
25;Ta.bmp;Ta;Circle;T;A
26;Tc.bmp;Tc;Circle;T;C
27;Te.bmp;Te;Circle;T;E
28;Tf.bmp;Tf;Circle;T;F
29;Th.bmp;Th;Circle;T;H
30;Tk.bmp;Tk;Circle;T;K
31;Tl.bmp;Tl;Circle;T;L
32;Tm.bmp;Tm;Circle;T;M
33;Tn.bmp;Tn;Circle;T;N
34;To.bmp;To;Circle;T;O
35;Tu.bmp;Tu;Circle;T;U
36;Tv.bmp;Tv;Circle;T;V
37;Tx.bmp;Tx;Circle;T;X
38;Ty.bmp;Ty;Circle;T;Y
39;Tz.bmp;Tz;Circle;T;Z
40;Ua.bmp;Ua;Circle;U;A
41;Uc.bmp;Uc;Circle;U;C
42;Ue.bmp;Ue;Circle;U;E
43;Uf.bmp;Uf;Circle;U;F
44;Uh.bmp;Uh;Circle;U;H
45;Uk.bmp;Uk;Circle;U;K
46;Ul.bmp;Ul;Circle;U;L
47;Um.bmp;Um;Circle;U;M
48;Un.bmp;Un;Circle;U;N
49;Uo.bmp;Uo;Circle;U;O
50;Ut.bmp;Ut;Circle;U;T
51;Uv.bmp;Uv;Circle;U;V
52;Ux.bmp;Ux;Circle;U;X
53;Uy.bmp;Uy;Circle;U;Y
54;Uz.bmp;Uz;Circle;U;Z
55;Va.bmp;Va;Circle;V;A
56;Vc.bmp;Vc;Circle;V;C
57;Ve.bmp;Ve;Circle;V;E
58;Vf.bmp;Vf;Circle;V;F
59;Vh.bmp;Vh;Circle;V;H
60;Vk.bmp;Vk;Circle;V;K
61;Vl.bmp;Vl;Circle;V;L
62;Vm.bmp;Vm;Circle;V;M
63;Vn.bmp;Vn;Circle;V;N
64;Vo.bmp;Vo;Circle;V;O
65;Vt.bmp;Vt;Circle;V;T
66;Vu.bmp;Vu;Circle;V;U
67;Vx.bmp;Vx;Circle;V;X
68;Vy.bmp;Vy;Circle;V;Y
69;Vz.bmp;Vz;Circle;V;Z
70;Xa.bmp;Xa;Circle;X;A
71;Xc.bmp;Xc;Circle;X;C
72;Xe.bmp;Xe;Circle;X;E
73;Xf.bmp;Xf;Circle;X;F
74;Xh.bmp;Xh;Circle;X;H
75;Xk.bmp;Xk;Circle;X;K
76;Xl.bmp;Xl;Circle;X;L
77;Xm.bmp;Xm;Circle;X;M
78;Xn.bmp;Xn;Circle;X;N
79;Xo.bmp;Xo;Circle;X;O
80;Xt.bmp;Xt;Circle;X;T
81;Xu.bmp;Xu;Circle;X;U
82;Xv.bmp;Xv;Circle;X;V
83;Xy.bmp;Xy;Circle;X;Y
84;Xz.bmp;Xz;Circle;X;Z
85;Ya.bmp;Ya;Circle;Y;A
86;Yc.bmp;Yc;Circle;Y;C
87;Ye.bmp;Ye;Circle;Y;E
88;Yf.bmp;Yf;Circle;Y;F
89;Yh.bmp;Yh;Circle;Y;H
90;Me.bmp;Me;Circle;M;E
91;Mf.bmp;Mf;Circle;M;F
92;Mh.bmp;Mh;Circle;M;H
93;Mk.bmp;Mk;Circle;M;K
94;Ml.bmp;Ml;Circle;M;L
95;Mn.bmp;Mn;Circle;M;N
96;Mo.bmp;Mo;Circle;M;O
97;Mt.bmp;Mt;Circle;M;T
98;Mu.bmp;Mu;Circle;M;U
99;Mv.bmp;Mv;Circle;M;V
100;Mx.bmp;Mx;Circle;M;X
101;My.bmp;My;Circle;M;Y
102;Mz.bmp;Mz;Circle;M;Z
103;Na.bmp;Na;Circle;N;A
104;Nc.bmp;Nc;Circle;N;C
105;Ne.bmp;Ne;Circle;N;E
106;Nf.bmp;Nf;Circle;N;F
107;Nh.bmp;Nh;Circle;N;H
108;Nk.bmp;Nk;Circle;N;K
109;Nl.bmp;Nl;Circle;N;L
110;Nm.bmp;Nm;Circle;N;M
111;No.bmp;No;Circle;N;O
112;Nt.bmp;Nt;Circle;N;T
113;Nu.bmp;Nu;Circle;N;U
114;Nv.bmp;Nv;Circle;N;V
115;Nx.bmp;Nx;Circle;N;X
116;Ny.bmp;Ny;Circle;N;Y
117;Nz.bmp;Nz;Circle;N;Z
118;Oa.bmp;Oa;Circle;O;A
119;Oc.bmp;Oc;Circle;O;C
120;Oe.bmp;Oe;Circle;O;E
121;Of.bmp;Of;Circle;O;F
122;Oh.bmp;Oh;Circle;O;H
123;Ok.bmp;Ok;Circle;O;K
124;Ol.bmp;Ol;Circle;O;L
125;Om.bmp;Om;Circle;O;M
126;On.bmp;On;Circle;O;N
127;Ot.bmp;Ot;Circle;O;T
128;Ou.bmp;Ou;Circle;O;U
129;Ov.bmp;Ov;Circle;O;V
130;Ox.bmp;Ox;Circle;O;X
131;Oy.bmp;Oy;Circle;O;Y
132;Oz.bmp;Oz;Circle;O;Z
133;Ha.bmp;Ha;Circle;H;A
134;Hc.bmp;Hc;Circle;H;C
135;He.bmp;He;Circle;H;E
136;Hf.bmp;Hf;Circle;H;F
137;Hk.bmp;Hk;Circle;H;K
138;Hl.bmp;Hl;Circle;H;L
139;Hm.bmp;Hm;Circle;H;M
140;Hn.bmp;Hn;Circle;H;N
141;Ho.bmp;Ho;Circle;H;O
142;Ht.bmp;Ht;Circle;H;T
143;Hu.bmp;Hu;Circle;H;U
144;Hv.bmp;Hv;Circle;H;V
145;Hx.bmp;Hx;Circle;H;X
146;Hy.bmp;Hy;Circle;H;Y
147;Hz.bmp;Hz;Circle;H;Z
148;Ka.bmp;Ka;Circle;K;A
149;Kc.bmp;Kc;Circle;K;C
150;Ke.bmp;Ke;Circle;K;E
151;Kf.bmp;Kf;Circle;K;F
152;Kh.bmp;Kh;Circle;K;H
153;Kl.bmp;Kl;Circle;K;L
154;Km.bmp;Km;Circle;K;M
155;Kn.bmp;Kn;Circle;K;N
156;Ko.bmp;Ko;Circle;K;O
157;Kt.bmp;Kt;Circle;K;T
158;Ku.bmp;Ku;Circle;K;U
159;Kv.bmp;Kv;Circle;K;V
160;Kx.bmp;Kx;Circle;K;X
161;Ky.bmp;Ky;Circle;K;Y
162;Kz.bmp;Kz;Circle;K;Z
163;La.bmp;La;Circle;L;A
164;Lc.bmp;Lc;Circle;L;C
165;Le.bmp;Le;Circle;L;E
166;Lf.bmp;Lf;Circle;L;F
167;Lh.bmp;Lh;Circle;L;H
168;Lk.bmp;Lk;Circle;L;K
169;Lm.bmp;Lm;Circle;L;M
170;Ln.bmp;Ln;Circle;L;N
171;Lo.bmp;Lo;Circle;L;O
172;Lt.bmp;Lt;Circle;L;T
173;Lu.bmp;Lu;Circle;L;U
174;Lv.bmp;Lv;Circle;L;V
175;Lx.bmp;Lx;Circle;L;X
176;Ly.bmp;Ly;Circle;L;Y
177;Lz.bmp;Lz;Circle;L;Z
178;Ma.bmp;Ma;Circle;M;A
179;Mc.bmp;Mc;Circle;M;C
180;Ac.bmp;Ac;Circle;A;C
181;Ae.bmp;Ae;Circle;A;E
182;Af.bmp;Af;Circle;A;F
183;Ah.bmp;Ah;Circle;A;H
184;Ak.bmp;Ak;Circle;A;K
185;Al.bmp;Al;Circle;A;L
186;Am.bmp;Am;Circle;A;M
187;An.bmp;An;Circle;A;N
188;Ao.bmp;Ao;Circle;A;O
189;At.bmp;At;Circle;A;T
190;Au.bmp;Au;Circle;A;U
191;Av.bmp;Av;Circle;A;V
192;Ax.bmp;Ax;Circle;A;X
193;Ay.bmp;Ay;Circle;A;Y
194;Az.bmp;Az;Circle;A;Z
195;Ca.bmp;Ca;Circle;C;A
196;Ce.bmp;Ce;Circle;C;E
197;Cf.bmp;Cf;Circle;C;F
198;Ch.bmp;Ch;Circle;C;H
199;Ck.bmp;Ck;Circle;C;K
200;Cl.bmp;Cl;Circle;C;L
201;Cm.bmp;Cm;Circle;C;M
202;Cn.bmp;Cn;Circle;C;N
