;ExperimentName;Subject;Session;Age;Clock.Information;Display.RefreshRate;Group;Handedness;Name;RandomSeed;SessionDate;SessionTime;Sex;Block;blocklist;blocklist.Cycle;blocklist.Sample;blocklistp;blocklistp.Cycle;blocklistp.Sample;practisexp;Procedure[Block];Running[Block];Trial;Accuracy;blank.DurationError;blank.OnsetDelay;blank.OnsetTime;changecorrect;changedetected;changetype;firstG;firstL;matrix1.ACC;matrix1.CRESP;matrix1.DurationError;matrix1.OnsetDelay;matrix1.OnsetTime;matrix1.RESP;matrix1.RT;matrix1.RTTime;Procedure[Trial];Rating;rating.ACC;rating.CRESP;rating.DurationError;rating.OnsetDelay;rating.OnsetTime;rating.RESP;rating.RT;rating.RTTime;Running[Trial];s1;s2;s3;s4;s5;s6;s7;s8;s9;secondG;sencondL;triallist;triallist.Cycle;triallist.Sample;triallistp;triallistp.Cycle;triallistp.Sample;x9;y9
2;Hierarchical-CB-8-CIRCLE_v5;1;1;22;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-05-14T13:58:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">21712191420</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-05-14T13:58:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";0.0;1;diestro;cris;239250258;05-14-2017;15:58:50;mujer;2;1.0;1.0;1.0;;;;experimental;blockproc;blocklist;1;1;0;2;121230;7;7;GL;Z;O;0;;0;7;117428;{SPACE};3298;120726;trialproc;7;0;;-999999;8;121239;1;1569;122808;triallist;BMPs/Za.bmp;BMPs/Kh.bmp;BMPs/Cz.bmp;BMPs/Fk.bmp;BMPs/Kz.bmp;BMPs/Zn.bmp;BMPs/Zo.bmp;BMPs/Kf.bmp;BMPs/Mz.bmp;M;Z;21.0;1.0;1.0;;;;20;50
3;Hierarchical-CB-8-CIRCLE_v5;1;1;22;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-05-14T13:58:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">21712191420</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-05-14T13:58:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";0.0;1;diestro;cris;239250258;05-14-2017;15:58:50;mujer;2;1.0;1.0;1.0;;;;experimental;blockproc;blocklist;2;1;0;2;144686;3;3;L;M;F;0;;0;7;126082;{SPACE};18100;144182;trialproc;3;0;;-999999;8;144695;1;1715;146410;triallist;BMPs/Cz.bmp;BMPs/Na.bmp;BMPs/Mf.bmp;BMPs/Eu.bmp;BMPs/Nc.bmp;BMPs/Zu.bmp;BMPs/Kc.bmp;BMPs/Ec.bmp;BMPs/Ma.bmp;M;A;224.0;1.0;2.0;;;;80;50
4;Hierarchical-CB-8-CIRCLE_v5;1;1;22;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-05-14T13:58:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">21712191420</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-05-14T13:58:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";0.0;1;diestro;cris;239250258;05-14-2017;15:58:50;mujer;2;1.0;1.0;1.0;;;;experimental;blockproc;blocklist;3;1;0;2;158879;3;3;L;F;N;0;;0;6;149710;{SPACE};8665;158375;trialproc;3;0;;-999999;7;158887;1;958;159845;triallist;BMPs/Oh.bmp;BMPs/Mk.bmp;BMPs/Fn.bmp;BMPs/Nk.bmp;BMPs/Mf.bmp;BMPs/Hz.bmp;BMPs/Co.bmp;BMPs/Ko.bmp;BMPs/Fz.bmp;F;Z;917.0;1.0;3.0;;;;80;50
5;Hierarchical-CB-8-CIRCLE_v5;1;1;22;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-05-14T13:58:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">21712191420</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-05-14T13:58:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";0.0;1;diestro;cris;239250258;05-14-2017;15:58:50;mujer;2;1.0;1.0;1.0;;;;experimental;blockproc;blocklist;4;1;0;2;172130;5;5;GL;U;H;0;;0;7;163195;{SPACE};8431;171626;trialproc;5;0;;-999999;9;172140;1;1039;173179;triallist;BMPs/Ac.bmp;BMPs/Nh.bmp;BMPs/Of.bmp;BMPs/Oc.bmp;BMPs/Uh.bmp;BMPs/Ne.bmp;BMPs/Fa.bmp;BMPs/Ze.bmp;BMPs/Ha.bmp;H;A;398.0;1.0;4.0;;;;50;85
6;Hierarchical-CB-8-CIRCLE_v5;1;1;22;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-05-14T13:58:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">21712191420</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-05-14T13:58:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";0.0;1;diestro;cris;239250258;05-14-2017;15:58:50;mujer;2;1.0;1.0;1.0;;;;experimental;blockproc;blocklist;5;1;0;2;187942;4;4;GL;U;O;0;;0;6;176150;{SPACE};11288;187438;trialproc;4;0;;-999999;10;187953;1;905;188858;triallist;BMPs/Hu.bmp;BMPs/Mn.bmp;BMPs/Ef.bmp;BMPs/Uo.bmp;BMPs/Ma.bmp;BMPs/Ak.bmp;BMPs/Nz.bmp;BMPs/Eo.bmp;BMPs/Km.bmp;K;M;81.0;1.0;5.0;;;;71;73
7;Hierarchical-CB-8-CIRCLE_v5;1;1;22;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-05-14T13:58:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">21712191420</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-05-14T13:58:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";0.0;1;diestro;cris;239250258;05-14-2017;15:58:50;mujer;2;1.0;1.0;1.0;;;;experimental;blockproc;blocklist;6;1;0;2;201007;2;2;L;F;M;0;;0;7;191837;{SPACE};8666;200503;trialproc;2;0;;-999999;7;201015;1;1398;202413;triallist;BMPs/Zk.bmp;BMPs/Fm.bmp;BMPs/Nh.bmp;BMPs/Nz.bmp;BMPs/Nu.bmp;BMPs/Om.bmp;BMPs/Ah.bmp;BMPs/Zn.bmp;BMPs/Fz.bmp;F;Z;813.0;1.0;6.0;;;;71;28
8;Hierarchical-CB-8-CIRCLE_v5;1;1;22;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-05-14T13:58:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">21712191420</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-05-14T13:58:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";0.0;1;diestro;cris;239250258;05-14-2017;15:58:50;mujer;2;1.0;1.0;1.0;;;;experimental;blockproc;blocklist;7;1;0;2;210825;1;1;G;Z;U;0;;0;6;205364;{SPACE};4957;210321;trialproc;1;0;;-999999;9;210835;1;1331;212166;triallist;BMPs/Zu.bmp;BMPs/Ha.bmp;BMPs/Ck.bmp;BMPs/Hm.bmp;BMPs/Om.bmp;BMPs/Zk.bmp;BMPs/Zm.bmp;BMPs/Mo.bmp;BMPs/Eu.bmp;E;U;819.0;1.0;7.0;;;;50;15
9;Hierarchical-CB-8-CIRCLE_v5;1;1;22;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-05-14T13:58:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">21712191420</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-05-14T13:58:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";0.0;1;diestro;cris;239250258;05-14-2017;15:58:50;mujer;2;1.0;1.0;1.0;;;;experimental;blockproc;blocklist;8;1;0;2;222678;3;3;GL;U;N;0;;0;7;215037;{SPACE};7137;222174;trialproc;3;0;;-999999;7;222686;1;1144;223830;triallist;BMPs/Hc.bmp;BMPs/Of.bmp;BMPs/Un.bmp;BMPs/He.bmp;BMPs/Nk.bmp;BMPs/Eh.bmp;BMPs/Ue.bmp;BMPs/Ze.bmp;BMPs/Eo.bmp;E;O;211.0;1.0;8.0;;;;80;50
10;Hierarchical-CB-8-CIRCLE_v5;1;1;22;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-05-14T13:58:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">21712191420</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-05-14T13:58:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";0.0;1;diestro;cris;239250258;05-14-2017;15:58:50;mujer;2;1.0;1.0;1.0;;;;experimental;blockproc;blocklist;9;1;0;2;232176;5;5;G;M;E;0;;0;7;226884;{SPACE};4788;231672;trialproc;5;0;;-999999;7;232184;1;1066;233250;triallist;BMPs/Mk.bmp;BMPs/Ef.bmp;BMPs/Nz.bmp;BMPs/Oz.bmp;BMPs/Me.bmp;BMPs/Un.bmp;BMPs/Uf.bmp;BMPs/Fm.bmp;BMPs/Ne.bmp;N;E;654.0;1.0;9.0;;;;50;85
11;Hierarchical-CB-8-CIRCLE_v5;1;1;22;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-05-14T13:58:50Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">21712191420</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-05-14T13:58:50Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";0.0;1;diestro;cris;239250258;05-14-2017;15:58:50;mujer;2;1.0;1.0;1.0;;;;experimental;blockproc;blocklist;10;1;0;2;248389;5;5;G;A;K;0;;0;6;236346;{SPACE};11539;247885;trialproc;5;0;;-999999;8;248398;1;1144;249542;triallist;BMPs/Oz.bmp;BMPs/Nh.bmp;BMPs/Uf.bmp;BMPs/Ah.bmp;BMPs/Ak.bmp;BMPs/Mo.bmp;BMPs/Mh.bmp;BMPs/Az.bmp;BMPs/Nk.bmp;N;K;905.0;1.0;10.0;;;;50;85
